create_date,forecast_date,data_source_marker,network_id,master_network_id,timeslot,impression_type,forecast_impressions
2018-02-28,2018-01-02,R,33,,61,H,256556
2018-02-28,2018-01-02,R,33,,62,H,253552
2018-02-28,2018-01-02,R,33,,63,H,259022
2018-02-28,2018-01-02,R,33,,64,H,280854
2018-02-28,2018-01-02,R,33,,65,H,279396
2018-02-28,2018-01-02,R,33,,66,H,293457
2018-02-28,2018-01-02,R,33,,67,H,303394
2018-02-28,2018-01-02,R,33,,68,H,302962
2018-02-28,2018-01-02,R,33,,69,H,307308
2018-02-28,2018-01-02,R,33,,70,H,319691
2018-02-28,2018-01-02,R,33,,71,H,320293
2018-02-28,2018-01-02,R,33,,72,H,331376
2018-02-28,2018-01-02,R,33,,73,H,333153
2018-02-28,2018-01-02,R,33,,74,H,339093
2018-02-28,2018-01-02,R,33,,75,H,351525
2018-02-28,2018-01-02,R,33,,76,H,354377
2018-02-28,2018-01-02,R,33,,77,H,360653
2018-02-28,2018-01-02,R,33,,78,H,359129
2018-02-28,2018-01-02,R,33,,79,H,370385
2018-02-28,2018-01-02,R,33,,80,H,365020
2018-02-28,2018-01-02,R,33,,81,H,365395
2018-02-28,2018-01-02,R,33,,82,H,378229
2018-02-28,2018-01-02,R,33,,83,H,370232
2018-02-28,2018-01-02,R,33,,84,H,378554
2018-02-28,2018-01-02,R,33,,85,H,368686
2018-02-28,2018-01-02,R,33,,86,H,382470
2018-02-28,2018-01-02,R,33,,87,H,374020
2018-02-28,2018-01-02,R,33,,88,H,395817
2018-02-28,2018-01-02,R,33,,89,H,392036
2018-02-28,2018-01-02,R,33,,90,H,398110
2018-02-28,2018-01-02,R,33,,91,H,415103
2018-02-28,2018-01-02,R,33,,92,H,413121
2018-02-28,2018-01-02,R,33,,93,H,416613
2018-02-28,2018-01-02,R,33,,94,H,423003
2018-02-28,2018-01-02,R,33,,95,H,426671
2018-02-28,2018-01-02,R,33,,96,H,433581
2018-02-28,2018-01-03,R,33,,1,H,432367
2018-02-28,2018-01-03,R,33,,2,H,417047
2018-02-28,2018-01-03,R,33,,3,H,411304
2018-02-28,2018-01-03,R,33,,4,H,411704
2018-02-28,2018-01-03,R,33,,5,H,398474
2018-02-28,2018-01-03,R,33,,6,H,386370
2018-02-28,2018-01-03,R,33,,7,H,357671
2018-02-28,2018-01-03,R,33,,8,H,352358
2018-02-28,2018-01-03,R,33,,9,H,322000
2018-02-28,2018-01-03,R,33,,10,H,302719
2018-02-28,2018-01-03,R,33,,11,H,285631
2018-02-28,2018-01-03,R,33,,12,H,257672
2018-02-28,2018-01-03,R,33,,13,H,241606
2018-02-28,2018-01-03,R,33,,14,H,220939
2018-02-28,2018-01-03,R,33,,15,H,202444
2018-02-28,2018-01-03,R,33,,16,H,185723
2018-02-28,2018-01-03,R,33,,17,H,170267
2018-02-28,2018-01-03,R,33,,18,H,152385
2018-02-28,2018-01-03,R,33,,19,H,146464
2018-02-28,2018-01-03,R,33,,20,H,122696
2018-02-28,2018-01-03,R,33,,21,H,113691
2018-02-28,2018-01-03,R,33,,22,H,111058
2018-02-28,2018-01-03,R,33,,23,H,111059
2018-02-28,2018-01-03,R,33,,24,H,95117
2018-02-28,2018-01-03,R,33,,25,H,99015
2018-02-28,2018-01-03,R,33,,26,H,107177
2018-02-28,2018-01-03,R,33,,27,H,93689
2018-02-28,2018-01-03,R,33,,28,H,100173
2018-02-28,2018-01-03,R,33,,29,H,110220
2018-02-28,2018-01-03,R,33,,30,H,107850
2018-02-28,2018-01-03,R,33,,31,H,108668
2018-02-28,2018-01-03,R,33,,32,H,116822
2018-02-28,2018-01-03,R,33,,33,H,117203
2018-02-28,2018-01-03,R,33,,34,H,130933
